Moniker,OperatorAddress,Commission,Number of Delegations,Current Self Delegation,Current Treasury Delegation,Current Project Delegation,Current Community Delegation,New Base Delegation,Self Delegation Bonus,Community Delegation Bonus,Total Delegation,Current Voting Power,Updated Voting Power,Delta Voting Power
	EZStaking.io,emoneyvaloper1pwpy0ul4v6ujpucetj3rh2f8dt4x7vuwych75m,0.05,110,4388,474675,0,55029,487500,8776,55029,551306,0.0119,0.0127,0.0007
 AutoStake 🛡️ Slash Protected,emoneyvaloper1z0cwp2wezmaehlhzdmqpx55vhxupuk52d7ucjy,0.10,41,3,222496,0,16257,243750,6,16257,260013,0.0053,0.0057,0.0004
 RHINO | 10% to Wildlife,emoneyvaloper1ght4t8sf4xv4eyma2su7evvdfcx0w89kaphfnk,0.05,30,897,425954,0,11451,487500,1793,11451,500744,0.0098,0.0106,0.0008
!Crypteloid,emoneyvaloper1m55p4c956dawa95uhzz027p4pwm3fedfhpz838,0.06,41,504,501108,0,310078,406250,1009,187500,594759,0.0182,0.0188,0.0006
🐹 Quokka Stake,emoneyvaloper1jk4n79c5gv36972ptnly3rvx5nvn3hl3hgly9g,0.05,6,6100,425006,0,328,487500,12200,328,500028,0.0097,0.0105,0.0008
01node,emoneyvaloper1zca529sff7x4sm2t06x4a5stl7ug0xqxg4wgd9,0.08,15,26397,334769,0,24182,304688,52795,24182,381664,0.0086,0.0090,0.0003
Ant,emoneyvaloper173cca8nkc5kule5ryvs9sldetay9ens5j3l37c,0.05,16,3532,422861,0,3310,487500,7063,3310,497873,0.0096,0.0105,0.0009
B-Harvest,emoneyvaloper1zgv6tqess9q6y4cj28ldpjllrqlyzqqh80fpgu,0.10,35,89144,424880,0,46529,243750,178288,46529,468567,0.0125,0.0125,-0.0000
Bi23 Labs,emoneyvaloper17e8y0np4gtdhn7mv2uut3v2a06d99f4gajvrrt,0.07,143,4355,419527,0,67058,348214,8711,67058,423983,0.0110,0.0103,-0.0007
Big Boy,emoneyvaloper1c9vmm8e4gqgxvsc8qpm3snkzjq3fezr29t4aap,0.05,8,2496,422466,0,4975,487500,4991,4975,497466,0.0096,0.0105,0.0009
